Iteración,x3,f(x3),Error Relativo,Error Porcentual
28,(21.533668520068062-14.519538493769202j),(2.4174040848330525e-09+1.129311784090436e-08j),0.7845645878617855,3.02087401323398
29,(22.1134751722322-15.046790995474781j),(-2.0455257103604843e-09+6.338794902274469e-09j),0.7836905986730852,2.9299932284312287
30,(22.692357727753617-15.57384559722514j),(-2.8483562541593837e-09+2.577873511000396e-09j),0.782873914697147,2.844487378994819
31,(23.27037110979714-16.100718593208292j),(-2.1660650685531287e-09+4.673722581054696e-10j),0.7821090868399724,2.7638894747103753
32,(23.847565454220938-16.627424496756095j),(-1.217067417935587e-09-3.9065406300044674e-10j),0.7813913360582678,2.687785436002886
33,(24.423986656590117-17.15397627976013j),(-4.956064883892566e-10-5.459740542672873e-10j),0.7807164547551544,2.615806772867673
34,(24.999676835967527-17.68038557597347j),(-9.031105059092094e-11-4.1568802658203124e-10j),0.7800807200357021,2.5476244351547868
35,(25.574674740684205-18.206662851454634j),(7.468644618907389e-11-2.337728018084542e-10j),0.7794808279338556,2.482943656231557
36,(26.149016100454403-18.7328175495972j),(1.0471425710288028e-10-9.530248537694621e-11j),0.7789138360050966,2.4214995806975943
37,(26.72273393287606-19.258858214845116j),(7.980827999423832e-11-1.7442891493353493e-11j),0.778377114728506,2.363053546127191
38,(27.295858812320493-19.784792598676418j),(4.4916392186793134e-11+1.4291020274090727e-11j),0.7778683073208528,2.307389910585094
39,(27.868419106131135-20.31062775079799j),(1.8329020675415352e-11+2.009291380997825e-11j),0.7773852952399121,2.254313330835892
40,(28.440441182815057-20.836370097896026j),(3.3676404976566032e-12+1.5327593992050485e-11j),0.7769261687869312,2.2036464191507705
41,(29.011949596228284-21.362025511920105j),(-2.7364565565065775e-12+8.632147034440816e-12j),0.7764892020465772,2.1552277187385958
42,(29.582967248954912-21.887599369488623j),(-3.856950925404165e-12+3.5255386008583153e-12j),0.7760728313018568,2.108909947822122
43,(30.15351553765011-22.4130966037433j),(-2.9445368053387336e-12+6.499615949651597e-13j),0.7756756364243608,2.0645584717065475
44,(30.723614482697943-22.938521749762277j),(-1.6592622556390345e-12-5.24282447536848e-13j),0.775296324777641,2.022049968951127
45,(31.29328284417124-23.46387898445047j),(-6.781895388959197e-13-7.405931191500158e-13j),0.7749337172319302,1.9812712633540916
46,(31.862538225798687-23.9891721616812j),(-1.2540798508656603e-13-5.657901183872134e-13j),0.7745867359805249,1.9421182981460536
47,(32.4313971684009-24.5144048433412j),(1.0049685892597364e-13-3.189905933809468e-13j),0.77425439389277,1.9044952325416284
48,(32.99987523405222-25.0395803268291j),(1.4224161062988424e-13-1.3046906472304432e-13j),0.7739357851807969,1.8683136439076116
49,(33.56798708205366-25.564701669474683j),(1.0873579056600355e-13-2.4191090945208273e-14j),0.7736300771954998,1.8334918213852063
50,(34.13574653765676-26.089771710276736j),(6.133317500697461e-14+1.9271588384306465e-14j),0.7733365031954662,1.799954138935923
51,(34.703166654354334-26.61479308929919j),(2.5100855859736583e-14+2.7325435272858875e-14j),0.7730543559567655,1.7676304975597419
52,(35.27025977044895-27.139768265016734j),(4.6654424342236535e-15+2.090044398187414e-14j),0.7727829821117763,1.736455827922509
53,(35.83703756051962-27.664699529860172j),(-3.696870405375925e-15+1.1793928830688332e-14j),0.7725217771218635,1.7063696458781152
